2019-09-27 14:28:56,030 INFO  [Timer-0] - [analytics] - High,Low,Close
2019-10-02 09:59:43,892 INFO  [Timer-0] - [analytics] - 2893.17,2892.51,2892.51
2019-10-02 10:00:13,816 INFO  [Timer-0] - [analytics] - 2892.51,2891.4,2891.4
2019-10-02 10:00:43,813 INFO  [Timer-0] - [analytics] - 2893.43,2891.4,2893.43
2019-10-02 10:01:13,811 INFO  [Timer-0] - [analytics] - 2894.37,2893.43,2894.37
2019-10-02 10:01:43,820 INFO  [Timer-0] - [analytics] - 2894.64,2894.37,2894.64
2019-10-02 10:02:13,812 INFO  [Timer-0] - [analytics] - 2895.91,2894.64,2895.91
2019-10-02 10:02:43,903 INFO  [Timer-0] - [analytics] - 2895.91,2895.16,2895.16
2019-10-02 10:03:13,956 INFO  [Timer-0] - [analytics] - 2896.03,2895.16,2896.03
2019-10-02 10:03:43,920 INFO  [Timer-0] - [analytics] - 2896.03,2895.5,2895.5
2019-10-02 10:04:13,935 INFO  [Timer-0] - [analytics] - 2895.5,2895.2,2895.2
2019-10-02 10:04:43,947 INFO  [Timer-0] - [analytics] - 2895.71,2895.2,2895.71
2019-10-02 10:05:13,905 INFO  [Timer-0] - [analytics] - 2895.71,2895.67,2895.67
2019-10-02 10:05:43,932 INFO  [Timer-0] - [analytics] - 2895.67,2894.95,2894.95
2019-10-02 10:06:14,003 INFO  [Timer-0] - [analytics] - 2895.32,2894.95,2895.32
2019-10-02 10:06:43,808 INFO  [Timer-0] - [analytics] - 2895.45,2895.32,2895.45
2019-10-02 10:07:13,989 INFO  [Timer-0] - [analytics] - 2895.49,2895.45,2895.49
2019-10-02 10:07:43,979 INFO  [Timer-0] - [analytics] - 2895.79,2895.49,2895.79
2019-10-02 10:08:13,904 INFO  [Timer-0] - [analytics] - 2896.56,2895.79,2896.56
2019-10-02 10:08:44,009 INFO  [Timer-0] - [analytics] - 2896.56,2896.02,2896.02
2019-10-02 10:09:13,958 INFO  [Timer-0] - [analytics] - 2896.02,2895.76,2895.76
2019-10-02 10:09:44,194 INFO  [Timer-0] - [analytics] - 2896.33,2895.76,2896.33
2019-10-02 10:10:13,997 INFO  [Timer-0] - [analytics] - 2896.33,2895.2,2895.2
2019-10-02 10:10:44,009 INFO  [Timer-0] - [analytics] - 2895.2,2894.59,2894.59
2019-10-02 10:11:13,943 INFO  [Timer-0] - [analytics] - 2894.59,2894.03,2894.03
2019-10-02 10:11:43,983 INFO  [Timer-0] - [analytics] - 2894.03,2892.92,2892.92
2019-10-02 10:12:13,953 INFO  [Timer-0] - [analytics] - 2892.92,2892.72,2892.72
2019-10-02 10:12:44,008 INFO  [Timer-0] - [analytics] - 2892.72,2892.49,2892.49
2019-10-02 10:13:14,025 INFO  [Timer-0] - [analytics] - 2892.49,2892.25,2892.25
2019-10-02 10:13:44,003 INFO  [Timer-0] - [analytics] - 2892.29,2892.25,2892.29
2019-10-02 10:14:13,863 INFO  [Timer-0] - [analytics] - 2892.29,2891.36,2891.36
2019-10-02 10:14:43,943 INFO  [Timer-0] - [analytics] - 2891.98,2891.36,2891.98
2019-10-02 10:15:13,822 INFO  [Timer-0] - [analytics] - 2892.02,2891.98,2892.02
2019-10-02 10:15:43,904 INFO  [Timer-0] - [analytics] - 2892.02,2891.51,2891.51
2019-10-02 10:16:13,800 INFO  [Timer-0] - [analytics] - 2891.67,2891.51,2891.67
2019-10-02 10:16:43,817 INFO  [Timer-0] - [analytics] - 2891.67,2891.27,2891.27
2019-10-02 10:17:13,908 INFO  [Timer-0] - [analytics] - 2892.55,2891.27,2892.55
2019-10-02 10:17:44,173 INFO  [Timer-0] - [analytics] - 2892.55,2891.33,2891.33
2019-10-02 10:18:13,915 INFO  [Timer-0] - [analytics] - 2891.33,2889.84,2889.84
2019-10-02 10:18:44,031 INFO  [Timer-0] - [analytics] - 2890.46,2889.84,2890.46
2019-10-02 10:19:13,975 INFO  [Timer-0] - [analytics] - 2890.46,2890.24,2890.24
2019-10-02 10:19:43,911 INFO  [Timer-0] - [analytics] - 2891.54,2890.24,2891.54
2019-10-02 10:20:13,939 INFO  [Timer-0] - [analytics] - 2894.18,2891.54,2894.18
